distance_km,hour,day_of_week,area_type,historical_speed,eta_minutes
6.97,23,Tuesday,residential,18.31,22.84
22.59,17,Thursday,residential,36.42,55.82
22.83,17,Tuesday,commercial,23.75,98.05
18.29,7,Saturday,commercial,29.19,45.11
3.9,3,Thursday,residential,29.51,7.93
7.78,9,Monday,commercial,28.61,27.74
5.26,3,Wednesday,commercial,21.44,17.66
21.4,15,Monday,commercial,21.55,71.5
17.86,11,Sunday,residential,17.57,60.99
11.26,8,Saturday,residential,38.66,26.21
14.33,4,Monday,residential,34.89,24.64
23.9,8,Friday,commercial,23.17,105.21
23.64,21,Tuesday,residential,22.19,63.92
17.39,15,Thursday,commercial,18.27,68.53
3.92,18,Thursday,commercial,17.94,22.29
20.49,22,Thursday,commercial,19.35,76.24
16.19,7,Friday,commercial,17.37,67.11
16.73,4,Friday,residential,17.58,57.1
13.15,19,Tuesday,commercial,22.02,60.91
22.7,18,Tuesday,commercial,21.17,109.37
22.23,0,Sunday,residential,16.23,82.18
15.58,13,Wednesday,commercial,30.08,37.29
15.18,12,Thursday,residential,16.12,56.5
16.65,19,Friday,commercial,37.8,44.93
24.84,6,Wednesday,residential,17.9,83.26
18.98,20,Sunday,residential,27.14,41.96
13.74,14,Wednesday,commercial,35.53,27.84
23.35,4,Tuesday,residential,19.06,73.5
13.4,10,Sunday,residential,37.86,31.85
19.92,15,Tuesday,commercial,35.47,40.44
1.13,16,Sunday,residential,20.05,3.38
4.54,2,Sunday,residential,15.65,17.41
19.35,22,Monday,residential,37.7,30.8
11.19,7,Tuesday,residential,39.33,17.07
11.71,15,Wednesday,residential,16.22,43.32
6.15,9,Thursday,residential,38.69,14.31
17.11,13,Thursday,residential,23.83,43.08
4.88,6,Tuesday,residential,23.6,12.41
4.11,14,Saturday,commercial,19.71,15.01
6.65,12,Sunday,commercial,35.39,13.53
15.44,10,Sunday,residential,37.09,37.47
6.18,17,Sunday,commercial,27.48,22.94
2.5,0,Wednesday,commercial,18.68,9.64
2.22,18,Sunday,residential,37.84,5.28
4.38,8,Tuesday,residential,16.85,23.39
15.0,3,Monday,commercial,19.09,56.57
10.87,14,Tuesday,residential,22.12,29.48
6.71,14,Monday,residential,18.04,22.32
3.95,1,Thursday,residential,31.27,7.58
13.03,2,Tuesday,commercial,37.87,24.77
4.67,17,Tuesday,residential,23.31,18.03
6.63,15,Saturday,commercial,30.41,15.7
9.62,3,Sunday,residential,34.58,16.69
24.61,17,Sunday,commercial,18.33,136.95
20.64,19,Friday,commercial,21.18,99.4
2.01,16,Thursday,commercial,25.65,5.64
12.38,11,Wednesday,commercial,25.09,35.53
24.45,0,Friday,commercial,21.26,82.8
8.35,4,Monday,commercial,24.58,24.46
17.62,10,Friday,commercial,20.52,87.58
12.44,23,Wednesday,residential,31.28,23.86
14.58,5,Tuesday,commercial,33.34,31.49
20.55,19,Wednesday,commercial,22.33,93.87
22.66,20,Thursday,residential,35.37,38.44
7.73,3,Sunday,commercial,34.23,16.26
3.33,19,Sunday,residential,31.09,9.64
11.42,20,Tuesday,commercial,39.84,20.64
3.23,23,Saturday,commercial,31.75,7.32
2.33,20,Saturday,residential,29.16,4.79
8.03,15,Sunday,commercial,24.33,23.76
7.83,15,Saturday,commercial,20.18,27.94
2.16,10,Tuesday,commercial,33.66,6.55
11.07,10,Saturday,commercial,29.4,38.41
23.98,8,Friday,commercial,31.52,77.6
23.67,20,Monday,commercial,36.8,46.31
3.37,21,Wednesday,residential,20.2,10.01
7.39,8,Friday,residential,25.51,26.07
14.54,5,Thursday,commercial,18.04,58.03
24.8,9,Sunday,residential,26.5,84.23
17.62,3,Monday,residential,18.67,56.63
2.46,6,Saturday,commercial,38.13,4.65
5.77,13,Saturday,commercial,36.12,11.5
2.59,22,Wednesday,commercial,18.9,9.87
11.59,10,Sunday,commercial,31.66,37.34
22.37,15,Saturday,commercial,26.8,60.1
12.17,16,Tuesday,residential,25.68,28.43
11.68,4,Saturday,residential,34.0,20.61
2.34,21,Saturday,commercial,16.39,10.28
9.63,22,Sunday,residential,25.93,22.28
2.51,8,Wednesday,commercial,20.93,12.23
17.47,4,Monday,residential,19.3,54.31
3.15,7,Saturday,commercial,37.28,6.08
22.59,19,Sunday,commercial,35.58,64.76
13.03,2,Wednesday,commercial,37.4,25.08
13.51,4,Wednesday,commercial,17.06,57.02
11.24,0,Monday,commercial,20.0,40.46
16.36,9,Wednesday,commercial,30.89,54.02
7.7,2,Wednesday,commercial,24.63,22.51
10.6,2,Sunday,commercial,17.41,43.84
8.07,22,Sunday,residential,26.87,18.02
8.45,14,Monday,residential,25.98,19.52
9.12,23,Saturday,commercial,35.67,18.41
16.24,14,Tuesday,commercial,17.35,67.39
18.49,6,Wednesday,commercial,36.59,36.38
10.89,14,Saturday,commercial,33.03,23.74
1.6,12,Tuesday,commercial,30.7,3.75
22.54,16,Tuesday,residential,34.5,39.2
4.85,19,Monday,commercial,38.25,12.93
8.29,16,Friday,residential,17.27,28.8
2.25,17,Tuesday,commercial,31.37,7.32
20.6,3,Thursday,residential,21.67,57.04
22.82,17,Tuesday,commercial,34.93,66.64
16.47,8,Saturday,commercial,22.79,73.71
22.66,3,Monday,residential,38.2,35.59
9.08,16,Thursday,commercial,26.47,24.7
21.15,16,Wednesday,commercial,21.64,70.37
4.57,6,Thursday,commercial,30.94,10.63
15.31,11,Thursday,commercial,20.65,53.38
22.35,22,Wednesday,commercial,17.73,90.76
6.95,2,Tuesday,commercial,32.71,15.3
2.49,19,Monday,residential,27.28,8.21
17.1,1,Friday,residential,33.93,30.24
16.9,6,Thursday,commercial,31.25,38.94
23.02,4,Saturday,residential,35.34,39.08
7.53,9,Friday,residential,20.09,33.73
17.52,16,Tuesday,residential,36.72,28.63
23.13,13,Saturday,residential,15.32,90.59
5.58,7,Saturday,residential,21.27,15.74
21.13,10,Saturday,residential,22.48,84.6
10.83,6,Friday,commercial,18.13,43.01
15.6,10,Thursday,commercial,39.01,40.79
24.89,6,Wednesday,commercial,23.49,76.29
21.31,18,Wednesday,residential,15.53,123.5
7.95,20,Thursday,commercial,26.15,21.89
23.23,11,Thursday,commercial,24.71,67.69
9.57,23,Saturday,commercial,22.35,30.83
5.14,13,Sunday,residential,16.34,18.87
13.48,20,Wednesday,residential,36.97,21.88
19.29,4,Wednesday,residential,15.56,74.38
23.11,6,Saturday,residential,17.83,77.77
19.27,7,Sunday,residential,31.0,37.3
14.35,10,Wednesday,residential,22.12,58.39
8.01,20,Monday,commercial,21.11,27.32
1.31,11,Thursday,residential,25.23,3.12
19.57,4,Saturday,commercial,15.08,93.44
18.23,22,Tuesday,commercial,29.88,43.93
2.43,15,Wednesday,commercial,15.13,11.56
2.07,12,Friday,commercial,39.47,3.78
6.29,7,Wednesday,residential,16.39,23.03
13.73,10,Monday,residential,37.3,33.13
15.34,7,Wednesday,commercial,21.2,52.1
13.5,16,Sunday,commercial,26.73,36.36
16.95,14,Tuesday,residential,38.88,26.16
19.74,7,Sunday,residential,17.95,65.98
17.73,14,Thursday,residential,39.35,27.03
8.42,19,Friday,residential,36.45,20.79
5.66,17,Tuesday,commercial,29.59,19.51
13.55,17,Friday,residential,38.13,31.98
24.09,7,Wednesday,residential,24.54,58.9
11.02,9,Wednesday,commercial,38.17,29.45
2.12,2,Thursday,residential,15.62,8.14
14.24,7,Sunday,commercial,17.57,58.35
1.17,8,Thursday,residential,31.87,3.3
7.31,17,Saturday,residential,20.98,31.36
2.87,7,Friday,residential,15.99,10.77
9.93,1,Saturday,commercial,30.12,23.74
7.76,9,Friday,residential,31.6,22.1
13.86,23,Thursday,commercial,34.75,28.72
23.12,5,Thursday,residential,39.61,35.02
23.55,9,Friday,commercial,34.83,68.97
17.14,1,Thursday,commercial,25.72,47.98
9.3,16,Sunday,residential,19.22,29.03
2.13,3,Friday,commercial,31.41,4.88
10.71,22,Monday,commercial,29.7,25.96
10.87,10,Thursday,commercial,21.08,52.6
13.36,13,Sunday,residential,35.7,22.45
13.35,9,Monday,commercial,36.39,37.42
18.26,23,Sunday,residential,29.93,36.61
11.55,11,Tuesday,commercial,21.94,37.9
8.42,8,Saturday,commercial,36.35,23.63
21.52,12,Sunday,commercial,17.9,86.56
23.19,3,Saturday,residential,19.22,72.39
22.55,2,Friday,residential,28.49,47.49
21.71,12,Tuesday,residential,19.44,67.01
11.61,11,Monday,residential,33.88,20.56
13.03,4,Sunday,commercial,15.38,61.0
22.99,23,Thursday,residential,17.29,79.78
7.18,1,Friday,residential,32.01,13.46
20.48,9,Tuesday,residential,39.08,47.16
23.35,13,Sunday,commercial,32.54,51.67
6.66,3,Tuesday,commercial,35.27,13.6
3.5,5,Thursday,commercial,39.36,6.4
18.36,2,Friday,commercial,32.0,41.31
22.96,12,Saturday,residential,22.29,61.8
11.8,0,Friday,commercial,34.98,24.29
23.25,20,Friday,residential,27.34,51.02
11.3,16,Thursday,commercial,37.21,21.87
22.52,0,Saturday,commercial,35.08,46.22
6.65,19,Wednesday,residential,19.67,30.43
3.93,10,Friday,residential,35.88,9.86
9.36,6,Wednesday,commercial,16.45,40.97
5.65,15,Sunday,commercial,22.16,18.36
5.09,16,Saturday,commercial,24.39,15.03
8.23,1,Tuesday,residential,24.91,19.82
13.95,16,Monday,residential,34.99,23.92
24.29,9,Thursday,commercial,22.18,111.7
5.59,13,Saturday,residential,26.33,12.74
12.26,18,Saturday,commercial,22.78,54.9
17.92,4,Saturday,commercial,38.28,33.71
10.31,4,Sunday,commercial,30.84,24.07
3.03,20,Thursday,residential,18.88,9.63
7.37,21,Wednesday,residential,39.24,11.27
24.41,1,Wednesday,commercial,30.5,57.62
4.31,9,Monday,residential,27.95,13.88
11.04,2,Tuesday,residential,18.23,36.34
22.17,2,Thursday,commercial,29.18,54.7
16.97,2,Thursday,commercial,17.6,69.42
9.64,21,Thursday,commercial,38.24,18.15
6.32,8,Friday,commercial,15.49,41.62
16.62,6,Sunday,commercial,35.93,33.3
5.52,6,Monday,residential,37.51,8.83
20.94,13,Friday,residential,34.51,36.41
3.22,0,Wednesday,residential,20.69,9.34
10.63,1,Sunday,commercial,29.15,26.26
18.28,6,Wednesday,residential,38.12,28.77
13.44,15,Saturday,commercial,17.75,54.52
1.06,18,Thursday,residential,18.28,5.22
6.74,5,Monday,residential,38.19,10.59
5.49,3,Tuesday,residential,31.78,10.37
20.67,21,Saturday,commercial,19.56,76.09
23.22,13,Friday,commercial,37.62,44.44
11.42,6,Wednesday,commercial,19.88,41.36
12.68,17,Wednesday,commercial,21.83,59.25
23.43,12,Monday,residential,23.04,61.02
16.08,16,Monday,residential,30.31,31.83
18.51,4,Wednesday,residential,20.39,54.47
19.05,21,Tuesday,residential,22.07,51.79
8.05,11,Tuesday,residential,38.84,12.44
22.38,22,Tuesday,residential,25.87,51.91
15.69,11,Saturday,residential,36.12,26.06
8.75,17,Sunday,commercial,21.08,42.34
10.89,22,Wednesday,residential,20.93,31.22
4.43,10,Thursday,commercial,15.58,29.0
2.3,9,Wednesday,commercial,36.51,6.43
13.15,5,Saturday,commercial,18.19,52.05
7.83,14,Sunday,commercial,30.24,18.64
7.53,22,Tuesday,commercial,15.32,35.39
11.86,23,Tuesday,commercial,38.24,22.33
17.4,16,Thursday,residential,26.04,40.09
12.22,22,Sunday,commercial,34.66,25.38
18.45,9,Friday,commercial,27.06,69.55
24.24,14,Sunday,commercial,19.49,89.55
19.44,3,Sunday,commercial,35.58,39.34
15.54,11,Tuesday,commercial,38.04,29.41
15.42,8,Tuesday,commercial,39.03,40.3
10.51,17,Friday,residential,30.08,31.45
3.68,10,Friday,commercial,28.76,13.05
15.91,1,Sunday,commercial,37.96,30.18
2.95,5,Tuesday,residential,38.38,4.61
22.83,11,Wednesday,commercial,28.45,57.78
24.92,11,Thursday,residential,28.49,52.48
19.66,1,Friday,residential,34.86,33.84
20.76,16,Friday,commercial,35.77,41.79
12.54,13,Saturday,commercial,19.08,47.32
3.09,10,Wednesday,residential,15.58,17.85
6.67,11,Monday,commercial,29.49,16.28
21.38,22,Saturday,residential,27.51,46.63
24.03,16,Saturday,commercial,33.32,51.93
22.46,16,Friday,commercial,20.36,79.43
17.57,9,Wednesday,residential,31.61,50.03
10.73,21,Wednesday,commercial,15.02,51.44
17.3,11,Wednesday,commercial,39.55,31.49
11.69,13,Friday,commercial,26.16,32.17
5.6,17,Sunday,residential,19.08,26.42
12.22,7,Monday,commercial,34.17,25.75
7.9,11,Thursday,commercial,35.38,16.08
3.63,13,Friday,residential,21.81,9.99
19.39,17,Sunday,commercial,34.9,56.67
5.46,2,Wednesday,commercial,35.75,11.0
24.63,16,Saturday,commercial,34.17,51.9
22.45,16,Saturday,commercial,24.34,66.41
14.9,17,Wednesday,commercial,16.31,93.18
10.16,0,Tuesday,residential,15.46,39.43
23.75,17,Sunday,commercial,36.38,66.59
14.93,7,Monday,residential,28.19,31.78
4.65,23,Tuesday,residential,21.66,12.88
2.42,7,Saturday,commercial,35.65,4.89
1.0,13,Sunday,residential,19.82,3.03
11.03,9,Sunday,commercial,32.87,34.23
9.05,1,Saturday,residential,25.83,21.02
16.47,14,Thursday,residential,26.36,37.49
15.75,14,Sunday,commercial,15.09,75.15
2.09,11,Friday,commercial,15.39,9.78
6.24,6,Thursday,residential,31.21,12.0
4.87,20,Monday,residential,33.11,8.83
18.45,11,Monday,commercial,20.25,65.6
8.26,22,Friday,residential,31.39,15.79
22.52,12,Wednesday,residential,23.0,58.75
6.75,16,Friday,commercial,28.49,17.06
12.07,5,Monday,residential,17.73,40.85
5.61,5,Sunday,commercial,24.96,16.18
3.76,10,Monday,residential,35.58,9.51
11.42,21,Saturday,commercial,31.38,26.2
2.7,0,Tuesday,commercial,34.33,5.66
14.07,23,Saturday,commercial,38.34,26.42
16.14,6,Wednesday,residential,32.05,30.22
10.24,10,Saturday,residential,22.33,41.27
9.01,8,Saturday,residential,24.45,33.17
14.69,9,Tuesday,residential,22.15,59.69
17.01,16,Saturday,residential,36.6,27.89
16.27,6,Thursday,commercial,28.22,41.51
21.72,22,Saturday,residential,21.6,60.33
14.28,2,Saturday,commercial,15.28,67.29
8.92,0,Sunday,commercial,28.67,22.4
16.88,3,Saturday,commercial,25.43,47.79
13.73,9,Thursday,commercial,23.71,59.07
8.05,10,Thursday,residential,15.81,45.83
13.4,14,Thursday,commercial,34.48,27.98
13.47,19,Saturday,residential,37.94,31.95
6.3,14,Saturday,commercial,17.87,25.38
3.92,15,Friday,residential,20.21,11.64
14.74,4,Tuesday,residential,34.56,25.59
4.26,4,Wednesday,residential,30.5,8.38
7.0,16,Saturday,commercial,18.58,27.13
8.96,6,Wednesday,residential,39.26,13.69
3.7,8,Thursday,commercial,28.84,13.09
20.0,3,Monday,commercial,39.46,36.49
15.71,18,Friday,residential,21.09,67.04
15.33,6,Tuesday,residential,34.84,26.4
18.97,16,Sunday,residential,28.98,39.28
1.65,15,Friday,commercial,30.27,3.92
3.53,19,Monday,commercial,16.19,22.24
14.3,0,Monday,commercial,20.43,50.4
22.93,7,Sunday,commercial,36.7,44.99
15.26,12,Saturday,commercial,29.68,37.02
24.15,6,Thursday,commercial,21.73,80.02
5.06,9,Saturday,commercial,27.7,18.63
12.05,3,Wednesday,residential,29.65,24.38
13.68,12,Wednesday,residential,21.17,38.77
6.89,16,Sunday,residential,17.88,23.12
21.19,15,Saturday,commercial,38.97,39.15
18.2,22,Sunday,commercial,20.35,64.39
14.89,14,Tuesday,commercial,30.32,35.36
6.9,11,Friday,commercial,33.16,14.98
22.02,18,Friday,commercial,26.79,83.84
15.51,5,Tuesday,commercial,16.66,67.03
4.9,5,Thursday,residential,34.79,8.45
6.74,16,Friday,commercial,37.37,12.99
15.65,8,Friday,commercial,31.42,50.81
15.35,6,Monday,commercial,23.97,46.11
14.35,17,Friday,residential,39.42,32.76
10.27,9,Wednesday,commercial,27.71,37.8
21.44,17,Wednesday,commercial,25.24,86.64
24.01,2,Tuesday,residential,39.72,36.27
9.42,13,Saturday,commercial,39.24,17.28
11.59,2,Saturday,commercial,28.54,29.24
18.38,6,Wednesday,residential,33.93,32.5
12.85,11,Monday,residential,21.32,36.16
9.04,4,Tuesday,commercial,28.84,22.57
6.06,5,Tuesday,commercial,23.05,18.93
9.44,12,Saturday,residential,29.8,19.01
11.92,15,Wednesday,commercial,26.72,32.12
18.0,21,Wednesday,commercial,34.4,37.67
5.29,20,Tuesday,commercial,18.81,20.25
10.03,16,Saturday,residential,33.95,17.73
14.47,2,Wednesday,commercial,19.21,54.23
10.37,5,Friday,commercial,15.26,48.93
3.21,13,Thursday,commercial,16.76,13.79
17.84,16,Sunday,residential,36.16,29.6
19.93,4,Friday,residential,25.71,46.51
10.53,0,Thursday,residential,29.46,21.45
4.87,8,Tuesday,residential,37.46,11.7
15.48,12,Tuesday,residential,26.81,34.64
16.72,10,Friday,residential,31.7,47.47
18.75,16,Thursday,commercial,31.71,42.57
2.16,7,Thursday,residential,20.82,6.22
7.23,12,Saturday,commercial,36.23,14.37
23.1,20,Sunday,commercial,31.28,53.17
6.61,4,Saturday,commercial,15.75,30.22
23.61,6,Thursday,commercial,25.83,65.81
18.69,10,Sunday,commercial,21.17,90.05
11.55,23,Tuesday,commercial,39.81,20.89
20.57,5,Monday,commercial,38.48,38.49
6.94,22,Friday,commercial,25.15,19.87
5.32,20,Friday,commercial,31.14,12.3
18.12,17,Tuesday,commercial,15.82,116.83
16.26,1,Tuesday,commercial,19.95,58.68
21.75,15,Saturday,residential,37.64,34.67
17.56,15,Sunday,commercial,32.8,38.55
4.57,12,Wednesday,commercial,17.56,18.74
18.82,19,Monday,commercial,15.08,127.3
7.84,3,Friday,commercial,33.11,17.05
5.5,2,Monday,commercial,16.86,23.49
2.42,3,Sunday,residential,21.27,6.83
24.02,10,Tuesday,commercial,33.57,72.98
7.29,13,Monday,residential,21.35,20.49
18.18,22,Friday,residential,28.43,38.37
19.54,2,Saturday,commercial,15.13,92.99
9.66,18,Friday,residential,22.31,38.97
14.13,18,Tuesday,residential,22.95,55.41
18.9,13,Tuesday,residential,29.43,38.53
15.35,23,Wednesday,residential,36.73,25.07
7.95,7,Sunday,commercial,24.41,23.45
2.41,12,Friday,commercial,27.91,6.22
10.18,22,Saturday,residential,35.77,17.08
18.13,9,Tuesday,residential,24.19,67.45
6.7,4,Sunday,residential,23.97,16.77
17.59,21,Tuesday,commercial,39.94,31.71
14.55,1,Tuesday,commercial,37.87,27.66
8.14,13,Monday,commercial,18.21,32.18
16.37,4,Sunday,commercial,18.71,63.0
20.95,12,Monday,residential,37.75,33.3
10.73,3,Monday,commercial,33.66,22.95
6.47,17,Tuesday,commercial,19.62,33.64
20.28,14,Tuesday,commercial,32.57,44.83
24.76,1,Tuesday,residential,33.27,44.65
19.32,14,Thursday,commercial,25.39,54.79
10.21,19,Friday,residential,31.99,28.72
5.05,11,Wednesday,residential,24.08,12.58
12.7,22,Thursday,commercial,23.5,38.91
11.49,1,Tuesday,residential,23.53,29.3
16.25,3,Sunday,commercial,20.18,57.98
20.25,15,Friday,residential,29.8,40.77
21.41,18,Tuesday,residential,18.09,106.52
11.18,3,Saturday,commercial,29.31,27.46
4.26,3,Thursday,residential,27.79,9.2
7.66,13,Saturday,commercial,37.0,14.91
24.21,4,Thursday,commercial,27.88,62.52
21.17,19,Wednesday,residential,35.92,53.04
24.54,14,Sunday,residential,24.25,60.72
11.64,6,Thursday,residential,23.22,30.08
11.73,13,Friday,residential,25.31,27.81
15.84,22,Monday,residential,17.31,54.9
14.99,18,Saturday,commercial,31.04,49.26
4.53,5,Friday,commercial,37.98,8.59
16.7,12,Friday,residential,29.56,33.9
19.11,20,Friday,residential,34.18,33.55
20.05,3,Tuesday,commercial,31.22,46.24
11.43,16,Wednesday,commercial,35.29,23.32
8.77,4,Monday,commercial,35.64,17.72
20.52,1,Sunday,commercial,18.31,80.69
1.77,0,Thursday,commercial,25.27,5.04
5.94,13,Friday,commercial,28.15,15.19
11.86,22,Sunday,residential,30.6,23.25
10.78,5,Sunday,residential,27.46,23.55
2.13,18,Saturday,commercial,35.33,6.15
22.33,15,Saturday,commercial,33.01,48.71
12.34,11,Sunday,residential,33.43,22.15
4.11,3,Wednesday,residential,20.63,11.95
24.92,15,Monday,commercial,20.36,88.13
19.31,9,Saturday,residential,28.27,61.48
18.1,20,Saturday,commercial,31.64,41.19
4.63,23,Wednesday,commercial,32.94,10.12
24.77,0,Wednesday,residential,33.39,44.51
17.41,17,Friday,commercial,17.99,98.71
23.38,16,Tuesday,residential,32.34,43.38
6.77,14,Sunday,residential,22.63,17.95
4.8,19,Sunday,commercial,27.77,17.63
11.3,13,Thursday,residential,38.46,17.63
14.97,15,Sunday,commercial,39.03,27.62
15.87,14,Wednesday,residential,29.14,32.68
3.61,7,Friday,commercial,32.63,7.97
1.19,6,Wednesday,commercial,18.98,4.51
24.24,11,Tuesday,commercial,17.73,98.44
12.45,21,Monday,commercial,36.33,24.67
1.5,13,Monday,residential,33.25,2.71
12.78,2,Monday,residential,18.69,41.03
13.73,14,Sunday,commercial,37.28,26.52
12.91,1,Wednesday,residential,39.88,19.42
17.0,19,Saturday,residential,22.87,66.9
16.93,6,Saturday,commercial,21.58,56.49
11.96,12,Thursday,commercial,36.27,23.74
15.18,22,Friday,commercial,32.0,34.15
4.97,14,Tuesday,commercial,25.7,13.92
20.35,8,Wednesday,residential,29.76,61.54
7.5,6,Saturday,residential,31.06,14.49
16.09,13,Tuesday,commercial,28.37,40.83
22.55,14,Tuesday,commercial,22.0,73.8
19.33,4,Friday,commercial,30.17,46.13
19.07,3,Thursday,residential,38.5,29.72
1.88,19,Thursday,residential,29.51,5.73
2.88,5,Monday,commercial,37.52,5.53
19.76,21,Friday,residential,15.02,78.93
23.18,21,Thursday,commercial,22.13,75.42
7.02,11,Friday,residential,28.78,14.64
10.79,22,Friday,residential,29.05,22.29
21.48,4,Tuesday,residential,18.98,67.9
24.74,13,Friday,residential,26.13,56.81
9.39,14,Saturday,residential,30.16,18.68
4.3,2,Friday,residential,20.99,12.29
2.16,23,Monday,commercial,25.83,6.02
20.57,5,Wednesday,commercial,35.01,42.3
6.97,21,Friday,residential,16.49,25.36
18.62,23,Tuesday,residential,27.0,41.38
8.9,2,Tuesday,commercial,19.11,33.53
10.02,13,Sunday,residential,23.78,25.28
8.89,22,Wednesday,commercial,33.2,19.28
18.52,18,Monday,commercial,22.4,84.33
21.58,7,Sunday,residential,26.74,48.42
19.65,13,Saturday,residential,30.46,38.71
15.54,19,Saturday,commercial,19.97,79.37
3.97,7,Thursday,commercial,32.62,8.76
10.8,8,Wednesday,residential,30.9,31.46
4.25,8,Thursday,commercial,36.14,12.0
4.37,8,Tuesday,residential,38.14,10.31
7.89,8,Thursday,residential,32.37,21.94
17.04,18,Thursday,commercial,29.9,58.13
19.5,4,Saturday,commercial,39.24,35.78
10.27,3,Saturday,residential,27.6,22.33
21.49,14,Friday,commercial,26.46,58.48
11.23,11,Monday,commercial,19.65,41.15
20.31,10,Saturday,commercial,15.38,134.7
21.13,9,Tuesday,commercial,19.4,111.1
8.07,18,Sunday,residential,21.05,34.5
5.67,8,Thursday,commercial,32.38,17.86
4.38,23,Wednesday,commercial,19.49,16.18
14.95,8,Saturday,commercial,16.13,94.54
20.15,18,Wednesday,residential,39.47,45.95
16.09,16,Sunday,commercial,24.51,47.27
5.45,18,Monday,commercial,38.57,14.41
13.39,9,Sunday,residential,18.67,64.55
17.17,22,Friday,commercial,34.8,35.52
1.84,7,Tuesday,residential,30.14,3.66
1.54,13,Thursday,residential,25.39,3.64
5.85,22,Friday,residential,16.03,21.9
2.87,21,Friday,commercial,34.22,6.04
11.54,18,Thursday,residential,33.38,31.11
13.37,5,Wednesday,commercial,15.85,60.73
6.53,21,Friday,residential,19.93,19.66
12.84,23,Saturday,commercial,35.01,26.41
8.93,11,Thursday,residential,21.44,24.99
13.97,2,Friday,residential,17.85,46.96
23.31,13,Saturday,commercial,38.06,44.1
5.54,14,Tuesday,commercial,26.19,15.23
17.93,8,Saturday,commercial,15.07,121.36
11.77,4,Wednesday,residential,38.58,18.3
4.22,22,Monday,residential,33.42,7.58
24.92,7,Friday,commercial,30.36,59.1
7.81,18,Friday,commercial,37.34,21.33
3.94,7,Monday,commercial,21.85,12.98
13.41,20,Sunday,residential,16.97,47.41
18.88,19,Saturday,commercial,36.48,52.79
17.66,11,Wednesday,commercial,19.55,65.04
22.54,21,Friday,residential,25.18,53.71
11.14,1,Tuesday,residential,32.36,20.66
9.36,20,Thursday,commercial,30.76,21.91
6.39,16,Monday,commercial,19.53,23.56
4.7,19,Friday,residential,17.47,24.21
3.44,5,Tuesday,commercial,15.76,15.72
20.92,0,Friday,commercial,17.11,88.03
16.03,13,Monday,residential,29.75,32.33
7.99,1,Monday,commercial,30.92,18.61
18.66,20,Sunday,commercial,20.05,67.01
21.71,13,Monday,residential,24.19,53.85
4.74,17,Tuesday,commercial,37.37,12.94
16.06,23,Tuesday,residential,31.55,30.54
2.99,5,Thursday,commercial,31.86,6.76
6.9,19,Monday,residential,16.45,37.75
19.07,23,Thursday,residential,33.15,34.52
3.23,12,Tuesday,commercial,36.56,6.36
11.82,21,Friday,residential,23.37,30.35
2.18,10,Tuesday,commercial,33.02,6.73
19.23,10,Sunday,residential,16.44,105.27
14.03,17,Sunday,commercial,36.79,38.9
23.4,8,Saturday,commercial,21.39,111.58
15.0,1,Monday,commercial,34.97,30.88
21.69,12,Saturday,commercial,38.66,40.4
3.08,7,Thursday,residential,38.94,4.75
15.19,5,Friday,commercial,29.08,37.61
8.53,7,Tuesday,commercial,36.18,16.98
1.88,14,Wednesday,residential,27.62,4.08
23.09,0,Saturday,residential,32.01,43.28
21.63,23,Sunday,commercial,39.39,39.54
12.92,21,Friday,residential,34.8,22.28
17.82,5,Saturday,residential,39.73,26.91
24.32,3,Monday,commercial,17.65,99.21
15.31,1,Sunday,residential,31.1,29.54
21.96,16,Monday,commercial,29.91,52.86
10.69,12,Sunday,commercial,35.0,21.99
23.84,1,Tuesday,commercial,39.28,43.7
3.2,2,Monday,commercial,21.44,10.75
10.78,12,Wednesday,residential,26.93,24.02
3.15,22,Friday,commercial,19.3,11.75
18.97,11,Tuesday,commercial,19.67,69.44
17.83,13,Monday,commercial,20.64,62.2
6.25,19,Monday,residential,15.61,36.03
10.36,23,Tuesday,commercial,27.14,27.48
7.12,14,Thursday,commercial,27.23,18.83
21.12,2,Sunday,residential,35.13,36.07
19.75,23,Wednesday,commercial,26.33,54.01
1.95,17,Friday,commercial,27.4,7.26
7.28,14,Saturday,residential,32.44,13.46
16.44,20,Friday,commercial,15.29,77.42
20.08,2,Tuesday,commercial,26.61,54.33
2.67,5,Monday,commercial,21.71,8.85
7.86,7,Sunday,residential,35.67,13.22
9.69,7,Thursday,residential,25.81,22.53
7.98,18,Tuesday,residential,22.24,32.29
3.91,4,Wednesday,commercial,32.23,8.73
12.81,6,Saturday,commercial,32.38,28.48
1.18,8,Tuesday,residential,23.45,4.53
22.09,16,Monday,commercial,17.28,92.04
2.11,15,Tuesday,residential,17.53,7.22
9.82,9,Saturday,commercial,19.69,50.87
10.05,21,Friday,residential,21.81,27.65
8.47,13,Wednesday,commercial,25.23,24.17
17.22,21,Thursday,residential,37.86,27.29
21.83,10,Wednesday,commercial,31.64,70.37
7.14,22,Wednesday,commercial,20.2,25.45
9.27,16,Monday,commercial,36.94,18.07
3.73,8,Friday,residential,16.68,20.13
16.04,10,Wednesday,commercial,15.2,107.64
14.72,10,Saturday,residential,22.58,58.67
20.0,6,Thursday,residential,20.09,59.73
6.65,22,Thursday,commercial,38.86,12.32
1.84,1,Sunday,residential,18.51,5.96
20.5,16,Friday,residential,26.99,45.57
14.85,0,Wednesday,residential,35.88,24.83
